freq,unit,age,isced11,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,TOTAL,ED5-8,FI	26789 	27663 	28089 	28243 	27771 	27219 	26663 	26163 	24978 	23511 	22608 	21999 	21213 	22240 	24437 	22219 	21686 
A,NR,TOTAL,ED5-8,HR	8455 	9332 	10358 	11340 	11564 	12115 	12347 	12875 	13347 	13971 	14306 	14172 	14615 	14685 	15960 	15068 	14730 
A,NR,TOTAL,ED5-8,HU	27128 	29038 	29993 	30259 	29803 	30542 	29329 	30099 	30416 	30572 	30096 	29693 	29803 	30509 	31117 	28768 	28031 
A,NR,TOTAL,ED5-8,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9703 	9220 	9244 	8677 	9192 	7986 	7313 
A,NR,TOTAL,ED5-8,ME	1314 	1500 	1627 	657 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED5-8,MK	3506 	4036 	4354 	4896 	5295 	5770 	6271 	6781 	7298 	7670 	7460 	7661 	7274 	7151 	7069 	: 	: 
A,NR,TOTAL,ED5-8,NO	24785 	27113 	27911 	27790 	30389 	30969 	30403 	30931 	30736 	31634 	30509 	29990 	31263 	31616 	: 	31195 	: 
A,NR,TOTAL,ED5-8,PL	: 	141037 	155137 	167604 	168139 	175620 	175169 	185442 	188461 	199042 	207915 	199709 	193092 	174315 	165436 	147215 	130617 
A,NR,TOTAL,ED5-8,PT	28280 	29244 	29301 	30754 	31510 	31245 	30173 	30578 	31760 	32244 	31749 	33338 	33787 	31031 	31617 	32897 	35135 
A,NR,TOTAL,ED5-8,RO	32414 	47034 	46111 	59743 	56303 	53183 	51493 	53759 	55605 	58784 	61122 	61642 	60650 	56903 	55551 	51674 	48180 
A,NR,TOTAL,ED5-8,RS	: 	14367 	16396 	17197 	17983 	19386 	20390 	21715 	22290 	22809 	24749 	25131 	25428 	24911 	25730 	26337 	25831 
A,NR,TOTAL,ED5-8,RU	: 	: 	: 	: 	: 	: 	1103325 	1302381 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED5-8,SE	45384 	47408 	49756 	51972 	50592 	51560 	52275 	52845 	53118 	54690 	53468 	54415 	54606 	55468 	: 	54134 	53326 
A,NR,TOTAL,ED5-8,SI	6879 	7821 	8626 	9603 	10107 	: 	10061 	: 	: 	10703 	10657 	10307 	10240 	9918 	: 	9349 	8943 
A,NR,TOTAL,ED5-8,SK	10003 	11693 	14408 	16157 	18512 	18091 	18788 	19755 	21036 	22521 	23468 	24139 	24622 	24472 	24787 	22857 	19656 
A,NR,TOTAL,ED5-8,SM	: 	: 	: 	: 	: 	88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED5-8,TR	: 	: 	: 	: 	111483 	118392 	120577 	122329 	253673 	269700 	288385 	297604 	297989 	300566 	: 	314195 	: 
A,NR,TOTAL,ED5-8,XK	1722 	0 	: 	: 	3072 	: 	: 	: 	4798 	5460 	5895 	6317 	6645 	: 	: 	: 	: 
A,NR,TOTAL,NAP,AM	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
A,NR,TOTAL,NAP,AT	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,NAP,AZ	0 	: 	0 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,NAP,BA	: 	: 	: 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,NAP,BE	327 	361 	24 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,NAP,BY	0 	: 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,NAP,CZ	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	17 	21 	12 
A,NR,TOTAL,NAP,DK	0 	0 	0 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,NAP,EE	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
A,NR,TOTAL,NAP,EL	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
A,NR,TOTAL,NAP,ES	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,NAP,FI	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	3 	1 	0 	0 
A,NR,TOTAL,NAP,HR	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	2 
A,NR,TOTAL,NAP,HU	0 	0 	0 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	49 	54 	54 
